ID,P.Value
UBAP2,0.0012799744102694607
HAT1,0.0012856653390148835
NTN4,0.0012865428254516217
PCBD1,0.0012893747842129008
CCT8,0.0012901859783420449
RAB22A,0.0012928882293049826
SSBP3,0.0012930632214836824
LSM14B,0.0012949079241460187
CALR,0.001295136264887314
BTG1,0.0012958998125551212
SNX17,0.0012979654923666974
FASTKD1,0.0012986697878397456
RBM19,0.0013002239211512454
SYT7,0.001302055881144188
TRIOBP,0.0013088595916577847
ENOPH1,0.0013151473769733482
LOC96610,0.0013234008112501877
GZF1,0.0013237844194028236
ALDH3A2,0.0013267089658932246
GNB1L,0.001332400923137778
INSIG1,0.00133436119304539
PHF6,0.0013390289336259829
NDUFA4,0.0013397406036252711
SH3GLB1,0.0013417121930768864
FKBP9,0.0013486121585772422
ROGDI,0.0013520828876663075
PABPC1,0.0013526377195397141
RPL36AL,0.0013527835641289853
PSME3,0.0013560608621644367
CIAPIN1,0.0013595246829333398
ATP5G1,0.0013608056415842001
PLEKHF2,0.0013634912515810553
GUSBP11,0.0013656322523931345
HNRNPU,0.0013671386045030621
MAGI3,0.0013750347578913816
ZBTB7A,0.0013775356257787565
CDC16,0.0013791622539991778
CTSZ,0.0013821369743019318
XPO1,0.001383464957315841
SLC43A2,0.0013836238116097098
FAM48A,0.0013850868622800505
MPDU1,0.0013868257937044535
WHAMM,0.001387121476512877
SPG11,0.0013948305853166908
TLK2,0.0014011171610802437
MEGF8,0.0014037201219749013
TMEM219,0.0014116656743340165
PSD4,0.0014117372315755143
RIPK3,0.0014137436214658925
PPP6R2,0.0014159265439521332
NFYB,0.001418704700496178
NDUFS4,0.0014219979117062944
CDC42EP2,0.0014252417330929742
LRRC32,0.001427261670400882
NDUFC1,0.0014348416994522564
GZMA,0.001437613704421473
GADD45GIP1,0.0014387366483081501
IMMT,0.0014400554047532006
PHYH,0.001442585096261039
PPAPDC2,0.0014432180179945588
BTBD6,0.0014432376699273525
RNF135,0.0014506115586263313
HMGA1,0.0014507343203692352
RALB,0.0014510112415042108
CYC1,0.0014513415898637233
HDAC2,0.0014514265586637208
MRPL30,0.001455723946308622
CYTIP,0.0014606932870748757
ZNF251,0.0014619594835961227
BFAR,0.0014637581153547552
NUDT12,0.001467369847357651
PGGT1B,0.001468454978580301
LGR4,0.0014760477644583103
TMEM189,0.001476086222301165
KIAA2018,0.0014824092109273147
SHPK,0.00148799690313691
PDCD2,0.0014880099613669416
WDR37,0.0014892006348333287
PEX3,0.0014922992880214104
GTPBP3,0.0014929636744762612
PELO,0.001493771339237613
AES,0.0015006548471684664
TSTD1,0.0015026050166390328
EHD1,0.0015035744450561876
LIF,0.0015043667500464098
HIST1H1C,0.0015158043323360707
GSTP1,0.0015202594684140015
LENG9,0.0015206146021894144
FAM105B,0.0015213536408076862
RRP1B,0.001521414969684212
COX7B,0.0015271641621063807
DERL2,0.001528273044182563
PCF11,0.0015328467214622329
IKBKAP,0.0015342087690645315
CEBPZ,0.0015353248013872185
CFI,0.0015362909130196651
TINF2,0.0015367122257431156
ZNF593,0.0015374814850122906
MAK16,0.0015380819160230662
CAMKK2,0.0015395665176060418
LY6E,0.0015420894632581059
LIMS1,0.0015456507032003046
YPEL5,0.0015486882442080666
EIF3K,0.0015546993410338963
IFT27,0.0015575546371425263
CAMKMT,0.0015600493026586815
GABRE,0.0015607441818396293
ZSWIM7,0.0015612033658830165
OS9,0.0015615666794856716
ATP9B,0.0015617210402898982
"NAT9",0.0015699890060954901
MAN1A1,0.001574156053113148
MCM7,0.0015754024687254337
RNF19A,0.0015827958181582496
CD2AP,0.0015834171660423302
PRMT1,0.001584347443975958
SLC25A1,0.0015848496339845566
EPAS1,0.0015887053567871358
STT3A,0.0015897678111886167
INTS6,0.0015923783353852465
SLC20A1,0.001594248807664477
R3HDM4,0.001595005943522053
MGC72080,0.0016128292950766336
BCAR1,0.0016134558007087037
ZMIZ1,0.0016155511555411095
ITGAV,0.0016182762970459905
ARHGAP30,0.0016233854409235715
ACAP2,0.0016268111169285798
ERF,0.0016314903937895682
WBP2,0.0016352566676935613
TP53BP1,0.0016416428543939013
PLOD3,0.0016466458219193904
MTHFD2,0.0016510280987218201
GEMIN2,0.0016514049585851771
PPM1D,0.0016519903908873053
PTCD1,0.0016542729942947364
RPS7,0.0016636495972115106
PDDC1,0.0016646508784580042
TMEM126B,0.0016681670845453802
NHP2,0.0016708102699305848
STAM,0.0016816450160061093
SGK223,0.0016848710829651685
GTF3C4,0.0016888410371474092
TMEM43,0.0016954961601178165
TRMT1,0.0016959477601774528
ICA1,0.0017035539098628337
TMEM246,0.0017065628585782619
SNHG7,0.0017172882111314946
INPP5A,0.0017173514332507083
MLXIP,0.0017196359100936894
BRD3,0.0017222056559426093
PLEKHA4,0.001724523144908665
TMEM9,0.0017258482108366442
TRIM28,0.0017306346346644794
RANBP1,0.0017439065050262128
MRPS36,0.0017468303976205986
PRIM1,0.001750331837682267
CBWD2,0.0017516996658309952
SSBP4,0.001752469322179896
OGDH,0.0017528285835274147
MLLT1,0.001760694676455693
FOXM1,0.0017639239191901608
PLOD2,0.001770548151040515
ERBB2,0.0017710474562921416
BAP1,0.0017730668899801664
TOE1,0.0017768643224770368
ENDOG,0.0017778572491130489
ANKMY2,0.0017794983242355772
HINT2,0.0017812551940159984
ANTXR2,0.0017815778866956133
IGFLR1,0.0017974020896107475
ZNF16,0.0018028729625567974
RNF19B,0.0018059034039700605
SERINC1,0.0018072216891674374
CCZ1,0.001812234403920514
MCTS1,0.0018200344429621493
VPRBP,0.0018207612187981937
CCDC34,0.0018218077621811666
SAMD4B,0.001839184858125587
PARVG,0.0018413215319804336
ELK1,0.0018496408484274492
NTHL1,0.0018542187993683462
CCNB1,0.001855773748427472
BET1,0.0018669860914481858
DTD1,0.0018698864731186513
EIF2AK3,0.0018708330344887679
KHSRP,0.0018841401393621642
GYPC,0.0018847511619742342
PTRHD1,0.0018848002443941356
MFSD9,0.0018920347076419504
"NANS",0.0018920825001132926
PLK1,0.00189333578564669
TXLNG,0.0018961840043860137
SNX15,0.0018968022010858196
GSDMB,0.0018971776334127794
SESTD1,0.0019044728283446847
LRRC58,0.0019215472273562515
MAZ,0.0019293155126075298
HCST,0.0019322838396543176
FANCG,0.0019324310991083904
ZMIZ2,0.001935082693090284
DUSP1,0.0019362310472248196
TMEM5,0.0019364139944137643
WBSCR22,0.001937123206421852
INCENP,0.0019389425092550558
CXXC5,0.0019501637077200312
METTL21B,0.0019518624469476227
PLSCR3,0.001956970583292876
SLC17A5,0.0019608814781632874
ZBTB33,0.0019622126953389445
TRIM32,0.001964982172878312
ZFYVE21,0.001967301540980574
EIF4A1,0.001967862908254089
LPXN,0.0019694792200738546
ZNF787,0.0019707141182939676
TOP2A,0.001972988591581449
TSPYL1,0.0019747940359769157
FAM177A1,0.0019798160524030412
CHD6,0.0019804428986746974
MTHFR,0.001984205660108785
RAD23B,0.0020031382761483006
RGS10,0.0020046267100873663
UBTF,0.0020133783912649086
PRR14L,0.002016369512332866
DGAT1,0.002017824206672883
USF1,0.002022419087479863
GPR56,0.0020269824106508567
MAD1L1,0.0020281088409417323
CANT1,0.002030150901700117
MON1A,0.0020356176684711937
EAF1,0.002045521119248472
EGLN2,0.002046920193172288
SYNPO,0.0020472193866176995
CREBRF,0.002049333265781734
GAS6,0.002057026054924659
POLR1D,0.002059616135768842
CSDA,0.0020625905053608153
"NAA38",0.0020648910407796432
NCF1,0.0020659050463046635
CUL7,0.0020661230944430805
FGD4,0.0020740173314386075
SLC22A18,0.0020767946350753147
BRD1,0.002077299891996844
NUDCD3,0.0020785489328334246
CYP39A1,0.002078922511383249
SPHAR,0.002081147840778737
SCO1,0.002085184771396259
CTNNAL1,0.0020862228719993525
CWF19L1,0.002086981136458871
ACER3,0.0020957404632342734
PHF20L1,0.0020997504327664464
ANKRD39,0.0021101451810600458
CTSH,0.002120624405165742
IP6K2,0.0021227156761849607
LSMD1,0.002134239887304285
REXO4,0.0021347449747052614
MSANTD4,0.0021361852821386315
PRPS1,0.002137381306533196
FNTA,0.00213811101808768
NNT,0.002142303675993475
APIP,0.0021425802194055725
ARHGAP27,0.002145590577541473
HAUS7,0.0021458262751737653
RAB31,0.0021465350583065083
BTBD9,0.002149860448090086
DHRS4,0.002156702823309073
PPCS,0.0021574776510765517
S100P,0.0021653128509866934
PDS5B,0.002165431404757853
PWWP2A,0.002168029012722572
CHMP2B,0.0021737621466854417
LIMK2,0.0021744272294824045
CAMK1D,0.0021753343329226913
ZDHHC20,0.0021756898658117653
KIAA0913,0.0021851677353679666
FBXO18,0.002185207596040687
TUSC1,0.0021862311319300965
ORC3,0.00218658277283928
GNPTG,0.002189341102851717
CBWD6,0.002189608246324429
FASTK,0.0022161684749700513
RFC5,0.0022205786318516664
ZFPM1,0.002222312919567659
CD44,0.0022233220996835676
ZNF189,0.0022269818603732013
RAI1,0.002227024804984728
NOC4L,0.002231377382600351
SZT2,0.0022339609337760475
AKNA,0.0022371334426752377
DUSP7,0.002239265614258608
ZXDB,0.002247643570314622
OSBPL10,0.002252164321050086
ATP5SL,0.002252385432672323
RGL1,0.0022565699686451545
PLEKHG3,0.0022676551860304345
ARF3,0.0022736127834832296
MRE11A,0.0022769657486472173
TBRG4,0.0022797703510045652
AGRN,0.002281192289371445
TUBGCP6,0.0022852870736392123
MEX3D,0.002286134762624751
ALDH4A1,0.0022927864283768433
TLE3,0.0022999535525253696
PHF1,0.002312351150885877
FBXO25,0.0023132381564315444
TNFRSF1A,0.002315158167184861
PRPF3,0.0023213437656132807
PSMA3,0.0023233978971943644
ANAPC10,0.0023301933558679566
NDUFA4L2,0.002334552377501312
COX10,0.002336400711765109
JKAMP,0.0023369682039761637
TM9SF4,0.0023482299247561036
QSER1,0.0023499506796158644
FAM193A,0.0023635337311456164
LUZP1,0.002364610522350403
RB1,0.00236606845700605
ACTN1,0.002372150185399954
RAD23A,0.002385698485394093
FAM165B,0.002393000334882122
ZFAND2A,0.002395504214459757
AURKAIP1,0.002397249062388058
CYTH4,0.002401989545108967
HIPK2,0.0024023564285305062
DCTN1,0.0024026425456275835
CSK,0.002408787155242556
UBE2J2,0.002416909131504278
VWA1,0.0024328875502170662
FBXL15,0.0024344876472693396
TCF19,0.0024440280817410553
GTPBP1,0.0024453053019193633
TMEM11,0.002450042201824793
VAPB,0.002452920750076472
TARS2,0.002461171765903135
NT5C,0.0024648506265232324
NDUFAF2,0.002467731658557513
COL4A3BP,0.002470422700631905
ZNF146,0.002472710926415066
CCDC43,0.0024828936729749986
EIF2B3,0.0024839710126135666
ZNF746,0.0024854715285339084
HSPA5,0.002488026622254736
TGFBR1,0.00248843626573187
TSEN2,0.002489033295195482
RNASEH1,0.0024894420571991297
AMT,0.0024920642561870954
CXCL1,0.002496756407869822
ERCC3,0.00249719697842626
PCGF5,0.002502583889909299
SAP18,0.002509729134849305
ADAT1,0.0025116048682560154
NRARP,0.0025135580102613082
UBTD2,0.002517237010163262
LOC100506779,0.002517297378975404
ANKRD13C,0.0025186577908325584
PLEKHJ1,0.0025258060816564327
CROCCP2,0.002528326764361674
XXYLT1,0.0025377086691901053
TATDN1,0.0025391077752256325
NUDC,0.002540979844880937
SMARCD1,0.0025415219985667737
SLC25A14,0.002541650616968807
ESRRA,0.002545601838730277
VCP,0.00255450652746375
AGK,0.002557014680251202
PNP,0.002557182335160635
CCDC167,0.0025758902221473872
ACP5,0.002578847436895373
GLIS2,0.002579749945393786
PMS2,0.00257981555372988
OVCA2,0.0025910676726013135
CAPNS1,0.002595965345812437
SIRT3,0.002606934468928544
IRAK1,0.0026092009790884265
CHMP1A,0.0026136538627612423
DDT,0.0026154120690872846
LGALS9,0.0026194148702701325
CLIP2,0.0026234044057739437
GEM,0.002627589474377049
ZNF669,0.002629542083651252
RCN2,0.002635101507547741
CTU1,0.0026411338652810195
FEM1C,0.0026476430190938874
FLJ90757,0.0026524007124671335
DDX39B,0.002656865371693036
ACOT9,0.0026593341307877692
SNX8,0.002661638813502724
CTDSPL,0.002663296972266429
PHLDA2,0.0026638080275716313
SNX6,0.0026728393698487824
MTUS1,0.0026800908967420487
ARMC6,0.002681591552156228
ERMAP,0.002682923026297466
POLR2A,0.002701423586079919
MGC57346,0.0027021334612400303
MRPS31P3,0.0027062126214674126
PDK1,0.002714212436660776
HSD17B8,0.002715948321001516
AGAP1,0.0027178428485177815
RCAN1,0.002726332704035412
HNRNPA2B1,0.002726781747681029
HSPA8,0.002727707504857112
SRFBP1,0.002728330450653152
EFTUD1,0.0027334423679937023
MTDH,0.00273483139191442
NOC2L,0.002735702813011829
ITGA5,0.002743208106796905
DPAGT1,0.0027494369409445866
MYL6B,0.0027584330876807748
ZNF184,0.002762131939589193
SBDSP1,0.0027681615975903287
ACSL4,0.0027717281427166807
LAT2,0.002773207902527839
SMS,0.002776667681615435
PRKRA,0.0027810320149344514
FANCL,0.0027821496175688925
GRWD1,0.00279246545418538
GOT1,0.002800904187922376
YIPF1,0.0028012031632125064
RECQL,0.002806218903737517
PERP,0.0028228376661695053
GABARAPL2,0.0028298659639698354
FHL3,0.0028300405682302864
PLXNB2,0.002835527490846052
ZMYM5,0.0028367566583655775
CD3D,0.002840594182144107
RSPH3,0.002844844729336037
EHMT2,0.00284988812336898
TYW1,0.0028597000173953557
FASTKD2,0.0028616862230512563
ZNF7,0.0028741338231320188
RAPGEF1,0.002878055334234921
DRAM1,0.002881851582685527
AFTPH,0.002884232842531314
WBP1L,0.0028873370101775387
CACYBP,0.0028916934808799507
GGA1,0.002899607680455321
NEDD9,0.0029006139062836066
PAXIP1,0.0029028029978794725
ALDH1B1,0.002913695516497175
SLC25A24,0.0029145335876454275
HK2,0.0029169395471387452
ZNF12,0.002923552107959339
DUS3L,0.0029269686236839043
SEMA3B,0.002933652375928044
DDX17,0.0029342295964387426
KDELC2,0.0029359174752921244
ITGA1,0.002936241894359865
PDE4DIP,0.002937763764265024
LAPTM4B,0.002937829154829826
INO80C,0.002947215470291999
PIK3R3,0.002951015616371556
TRPM7,0.0029594036914422583
RRAGC,0.0029609104373541167
NRIP1,0.0029647963380031893
DDX20,0.0029658981466696766
KLHL23,0.002969801707435293
HOOK3,0.002971526872103503
TMEM39A,0.00299700402531686
NMT2,0.0029975684865734707
RHOD,0.0030035524677407325
DECR1,0.0030064789589033473
MTR,0.0030085907761395084
KIF5B,0.0030106837165284734
RAP1A,0.0030110504109642274
STMN3,0.0030122826475367996
RSAD1,0.0030159815108645417
AGPAT3,0.003016971709762715
BRAT1,0.0030228481774662004
MCM4,0.003029736086127695
YEATS4,0.003043701458948273
CLTB,0.003052474352428938
EPHX1,0.0030577317148327418
UBL7,0.003058724765380277
ODC1,0.003067079689222115
FAM206A,0.003073927590055959
MYO9B,0.003081111152297822
DNAJC1,0.0030879323838843334
ITSN2,0.0031041566072941436
NPEPPS,0.0031056932382573653
CYBRD1,0.003107851389196247
ALYREF,0.003108435328212458
NT5C3L,0.003118853678719028
NFKBIA,0.0031220308464690316
PFKFB3,0.0031272401791365857
SMPD4,0.003135348390104259
FAAH,0.0031382655288231536
ID1,0.0031385331570463236
MTPAP,0.0031467364757200426
POLR3GL,0.0031531935227317597
EPDR1,0.003154552313442052
DNAJA3,0.00315582598036172
COG1,0.003157031158179694
LEPROT,0.0031735260724162218
SMAD3,0.003173737954293696
LLGL2,0.0031761661713169496
OPN3,0.003177028599932663
COPS6,0.0031822192254611415
CHD7,0.0031848772761944675
LRPAP1,0.003199654017810001
LOC439994,0.003202755195746759
LPCAT3,0.003208453390830444
GNE,0.0032112471995227793
FARP1,0.0032151398625776062
ZNF92,0.003215471029053061
KIAA0247,0.0032208798967721247
BACE2,0.0032228949907107036
EMC3,0.0032259504222036544
ZNF761,0.0032279304557287555
SMC4,0.0032310724048347636
KCTD2,0.0032358988192507277
ZNF434,0.0032360464674025717
SREBF2,0.0032417130508657715
DST,0.00324188752634011
SLC17A9,0.003245065499713354
"NARS",0.003255565076434024
MFSD1,0.003256187291610681
COX6B1,0.0032627255367086876
SLC35A5,0.0032635134866360813
DAP3,0.0032644031110549056
NOTCH2,0.0032677406033504723
XRCC1,0.0032682957596090003
OSGEPL1,0.0032690954758033404
MPLKIP,0.0032798105228115395
PTPLB,0.003287494544552953
CYP4V2,0.003293253295539265
SLC37A2,0.0032972320639379623
FAM108C1,0.003307334404762858
FAM189B,0.0033308502335393335
ECHS1,0.0033308673553383503
RBM5,0.0033316316456849624
LDLR,0.003343249642125757
GABPB1,0.003356221981061542
PLCB2,0.0033636152018184894
SEZ6L2,0.003366002969536658
ATG4B,0.0033695564467417973
FAM49B,0.003370869538999452
ANAPC13,0.0033715547710236526
NDUFB7,0.003391980425614259
GINS2,0.0033996124596263246
CXCL16,0.0034045655495934402
PES1,0.0034086870732868593
POM121C,0.0034142172047681506
SLC39A1,0.003414416336653766
NUDT1,0.003425745147831404
BAK1,0.003429908209014926
TMEM147,0.003432917838435561
CKLF,0.0034456383021413952
RCC1,0.003448040198012734
TRAPPC8,0.003448560711785108
GMPR2,0.0034752023720952744
CHID1,0.0034771454035150886
TFB2M,0.0034848934928362663
SERTAD2,0.0034891477950393774
TTC19,0.003497016031337658
FAM171A1,0.0034987371034933923
SULT1A4,0.0035045643394689234
PLGRKT,0.0035061638476322375
CCDC47,0.003510235396492475
EP300,0.0035190868776270325
BOK,0.003519105655693782
NPC2,0.0035207182078325103
COQ4,0.0035273900366587707
FBXO22,0.0035370948365654018
PER1,0.003540932387181726
GCN1L1,0.003541873860092934
ZNF621,0.0035435622281636456
MTMR11,0.0035495975837594776
CPOX,0.003551053719138692
CDK5,0.003555471597962748
PAIP1,0.003574618902663283
NUP133,0.003575813769361442
ERI1,0.0035881783525213767
METAP1D,0.0035947373812245885
PSMB7,0.0036048234314767827
NSDHL,0.0036133464021833395
BPNT1,0.0036164519361714374
HCG18,0.0036186848432459237
TOMM20,0.0036308422267661957
GTF3C3,0.0036326337942343863
D2HGDH,0.0036382185540075026
IDS,0.0036415634476266727
RASSF5,0.003645843648239707
SLC44A4,0.0036462846576832053
VEGFA,0.0036498622798273148
ADCY3,0.0036504262360273552
BUD31,0.003662225934475397
RAB27A,0.0036641727324561073
SACM1L,0.0036661661538639153
JUND,0.003670140384915377
TMEM183A,0.0036709354528081262
VAMP3,0.0036760956751647855
SRSF7,0.0037034264094032315
GPNMB,0.003711642519624012
FH,0.0037215163926654507
KLC2,0.0037223638423967012
INSR,0.003736191117331577
MRPL36,0.0037451514060444654
EXOSC4,0.0037458628342025156
PIP4K2C,0.0037504859852259924
UTP11L,0.0037545244757908294
PTBP1,0.0037603493693086506
HDAC5,0.003766030189657821
PRR13,0.0037842523844244832
IFFO2,0.0037959265970633985
PEX11B,0.0038030703012107343
RINT1,0.0038035298366049055
EXT1,0.003809952638878948
MTFR1,0.003811239718714385
TBL2,0.003813961380332478
NDUFS1,0.003826386436544623
TRPC4AP,0.003831374987077268
MCFD2,0.0038427993586920817
RFT1,0.00385561919075133
ALS2,0.0038565749941682883
KPNB1,0.0038616090220820218
LOC100506054,0.003880444534401454
TXNDC5,0.003881690095168382
HCCS,0.003908538577786374
STX6,0.003911293429546107
MSC,0.003914379695262513
PRDX1,0.003916391175758236
NOTCH1,0.003917262774166376
PSMD1,0.003921975638605962
MRPL27,0.003924078807793304
LDHA,0.00392568023524096
PET112,0.003925906759075735
TTC31,0.003931530741026028
TMEM117,0.003945012908830968
ADK,0.003947307652783676
MAT2B,0.003959801432284912
"NADSYN1",0.003968650987349375
TNFRSF10B,0.003981369810929317
GAR1,0.003984553004494956
CSNK1E,0.003989742702763761
COBL,0.003997683880607537
FAM120B,0.004010613152112031
POLM,0.004018354417840703
MTRNR2L8,0.004019836925925847
TRAK1,0.0040288589631234505
UAP1,0.004039675524033131
ZNF131,0.0040552016637703
IFI27L1,0.00405881184324262
DCUN1D2,0.004067987876551635
SLC44A1,0.004068995145425728
CCZ1B,0.004070968624481997
TDP1,0.00407821119336544
PGRMC2,0.004089041894499084
ATP6V1H,0.004091704727436023
SFPQ,0.0041322360880206134
MNAT1,0.004160521952936439
THOP1,0.004183002520917449
DOM3Z,0.004184260678911041
XRN1,0.004184411883677944
ATP7B,0.004188858953868627
RBM23,0.004189194161834544
INTS8,0.004198320983956646
FAM174A,0.004198976005847351
GALNT7,0.004205643203310343
SLC12A6,0.004209843639984685
DCLRE1A,0.004212446929352035
RAB40B,0.0042135410876011185
PTK7,0.004214517045204397
ACADSB,0.0042226702263869825
GMFG,0.004229482144591375
HSP90AA1,0.0042356998751793455
FGD5-AS1,0.004239978203510561
TMEM128,0.004244368352884378
PPP1CC,0.004252738245994925
VPS39,0.0042545910279107
FLI1,0.004256912663347012
PDF,0.004260729929320862
SMEK1,0.004261250294258267
SETD7,0.00426419345923976
STX16,0.004265199375011795
HDAC8,0.004267269015150565
CDK8,0.0042679428139784335
CCT6P3,0.004274939834400037
BAG4,0.004275172179409237
FAM110C,0.0042759512302590705
LIG1,0.004280040726283642
TRIAP1,0.004299338349669983
USMG5,0.004300816464412361
SCFD2,0.00430145933263247
RBM39,0.004308625704626757
KLF16,0.0043351833932168135
USP6NL,0.004350441272330447
FARSB,0.004357294792157969
MED4-AS1,0.004359203998329633
PPP1R35,0.004361981677699607
SKP2,0.0043658639789975785
DCAF5,0.0043768635237346545
CHFR,0.0043816447162253885
PTPMT1,0.004385721147627516
TM2D3,0.004389262385352741
SNX4,0.004394329144588781
RPL35,0.004396136138572881
TNPO3,0.004414847691310337
PRC1,0.004425411934411866
MTRNR2L2,0.004435540119159014
MYBBP1A,0.004447790266048183
SLC35E2B,0.0044486988344478486
WAS,0.004475826446571883
ARL3,0.004478256342213947
IPMK,0.004483198644126461
MCU,0.004490471622702883
PPP1R14B,0.004522186179433538
CTPS2,0.00452415198500645
PAK4,0.0045294753598898955
FRAT2,0.0045433096410083355
GTF2IRD2,0.0045584475086779
PRPF40B,0.004566377435315722
NDRG1,0.00457393545531929
AKR1B1,0.004582476485179998
PRKAR1B,0.004583820203595506
FILIP1L,0.004584307151274955
OAS1,0.004597746178325177
TATDN3,0.004601119550111516
"NAP1L4",0.004603683005445257
FANCF,0.004608488299053785
MEF2BNB,0.004610423794910166
FBLN2,0.004632878151976253
CMAS,0.004638216220277003
WEE1,0.004646528511791973
SYF2,0.004646968678390108
ABI3,0.004649223560395948
MAD2L2,0.004662307931501305
GATC,0.004676383873641519
SEC11A,0.00467759578977474
PTPN11,0.004688720653348441
ZNF91,0.004712338253348803
AREG,0.004712863698215926
RPL27A,0.004714057783399876
EIF2S1,0.004719601292296309
DHX32,0.004721996535248752
MAGED1,0.004722142569826638
ISG20L2,0.004725127416010942
TEAD2,0.004725857305926289
PTP4A2,0.004727420204772535
SRP14,0.004733478044197262
GMFB,0.004741700508086897
COQ5,0.004750578794429179
CNKSR3,0.00475648995945157
BECN1,0.004773230733048714
HBS1L,0.004781740685442159
BAZ2A,0.004796415948106932
SLC41A1,0.004806136935687915
REEP4,0.00480853955116978
FAM102B,0.004816140609416189
TICAM1,0.004816386167755472
DGCR6L,0.004839828578870886
SAMM50,0.004852275677691976
SLC26A6,0.004876951535478157
FXYD5,0.004881297081298868
DNAJC24,0.004893402201919285
BBS10,0.0048969052167839675
STAM2,0.004901729417690582
EPRS,0.00490266597255656
NBEAL2,0.00490365118838276
B4GALT4,0.004917238671357389
AVEN,0.004918019746399929
ZYG11B,0.004936299202486541
GSR,0.004937137248627708
BCL7A,0.004938269045667718
GALNTL4,0.004946712993145287
DHX36,0.00494783474440903
"NABP2",0.004954229517211453
HABP4,0.0049762672914743745
MLKL,0.004978397358341971
CDR2,0.0049813028750237374
CDC5L,0.005000304418459492
SUV420H1,0.005003286097030543
PPP1CA,0.005004550944910603
ZDHHC3,0.00501249177770733
FBXW7,0.005033340447914553
PIGV,0.00503552748014116
TBCA,0.005036004132207256
UBE2H,0.005041149077943567
APEX1,0.0050639237967069145
VPS26B,0.0050671229148916775
SNRNP35,0.005081783056171871
CROT,0.005094319088165278
SHFM1,0.005123262545552124
DOK4,0.005125933618141584
ZC3HC1,0.005135580236553515
GNAQ,0.005159293513673827
SEMA4B,0.005178832780927323
METAP2,0.0051798076280936
ZNF503,0.0051862833564180234
CCDC159,0.005194569797181752
UBE2V2,0.005195636383693514
RNASE6,0.005199705393421305
ADAM19,0.005204031527839388
LYSMD3,0.005208665429503902
RALGAPA1,0.005210459647354154
LGALS3BP,0.005212179925572889
NDST2,0.005224903654882565
GAB2,0.005252575814808125
TLK1,0.005256556278024013
MBOAT7,0.0052715377226792105
DGKD,0.0052777910111473465
SMURF1,0.005292560818437008
TNIP2,0.005293163127631827
DDX11,0.005300673774168144
GIMAP4,0.005306986448056401
RARS,0.00531414513769836
PDIA4,0.005316813808465453
DPM2,0.0053263425249666044
SLC3A2,0.005327493743492619
ZNF276,0.005355810416536292
SLC35A1,0.005379079598023344
BLVRB,0.005386017373028968
MRPS10,0.00539167621180145
AMOTL2,0.005396096410173426
TUBGCP2,0.005402590735313471
RNPS1,0.005406225132802367
MAN2B1,0.005417417702897863
KIAA1429,0.005419386606210568
KRI1,0.005426726275808093
PPP2R4,0.0054330158851090314
PRKD2,0.00543515371675441
MIPEP,0.005441036686772224
CCDC69,0.005441879294316245
ACOT2,0.0054445700213292215
SLC35B3,0.005451311963664114
FAHD1,0.00545538394398269
POLR3F,0.005456772980491938
RPL36A,0.005463893455927199
RFXAP,0.005465227902382036
BLNK,0.005471551858889366
SLC38A10,0.005476000571667831
SLC52A2,0.005477024989931421
MAN2B2,0.005482828389730688
C1QA,0.00548988999701082
ZNF562,0.005526616870824851
SWI5,0.005533672030568453
KHDRBS3,0.005542390107416683
LSM12,0.005544923660195216
UBQLN1,0.005547328252286595
FBXL3,0.005555588709720432
VASN,0.0055626142980657505
CHMP7,0.005565658149264997
POU2F1,0.005569270942452425
WLS,0.005586831292539128
HCFC1,0.0055881892666568185
TIMM23,0.005621377056897057
MIS18A,0.005623422653670338
SBNO2,0.005654118869252724
ZCCHC10,0.005656340901999325
TIMM21,0.005686853392087896
IQCB1,0.005691802261701519
ZHX1,0.005694142231762498
MMP9,0.0056992778975251115
ACVR1B,0.0057009594289539845
SPTSSA,0.005701256061560341
PARP2,0.0057054055168555395
IFT52,0.00575027927898922
SMAD2,0.005778226718843379
SLC39A13,0.005808895064666761
SNRPB,0.005823304097881947
LRRC8D,0.005831221297693604
SOCS7,0.005861904444035789
COG5,0.0058851979349691785
PTPN6,0.0058895615005729995
WDFY2,0.005908408114240686
ZNF207,0.005913143919148146
ENOSF1,0.005921401485666436
B4GALT2,0.005927411052105842
HERC1,0.005928279808938431
PSMD7,0.0059290988725727595
KDM1A,0.0059299798356525595
DHX33,0.0059555540389672765
FAM13B,0.005961155435894227
AMDHD2,0.0059641802442449545
ZNRD1,0.005965514765285138
MON2,0.005972226901645934
ZBTB39,0.005986359709170398
ZNF511,0.005990740962096621
BZW2,0.005999766526878189
FBN1,0.006003175532036496
UBAC2,0.006003494767394486
MGAT1,0.006004897496936988
BANF1,0.006005722387344511
CCDC61,0.006012456653959793
SNRPA1,0.006018058570723977
MUS81,0.006026634966919042
CORO2A,0.006044680634722646
NCOA7,0.0060815847492668215
RPL7,0.006085831523625351
TAF4,0.006109107278337235
CTNNB1,0.006113495623153238
ERO1L,0.0061171798119019315
GPR89B,0.006118267044751081
KIAA0240,0.006128910891920794
INF2,0.006136376517345217
TRAF2,0.00613791190289899
TMEM167B,0.006151887110427482
MED29,0.0061856569473251405
CISD3,0.006216173112047036
ABI2,0.006238442541060284
DENND3,0.0062411745230663744
SNRK-AS1,0.006254980171939075
HIST3H2A,0.006297789970919355
SS18L1,0.006311459668874073
RNF5P1,0.006316532982296359
RUSC2,0.0063212784928822815
