source,target,weight,resources,references
STAT1,IFI27,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12356687
IRF6,IFNB1,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12356687;CollecTRI:12595530;CollecTRI:17513785;CollecTRI:22730532
BACH1,HMOX1,-1.0,CollecTRI;DoRothEA_A_CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI,CollecTRI:12356737;CollecTRI:12511571;CollecTRI:14580148;CollecTRI:14747657;CollecTRI:15233805;CollecTRI:17257585;CollecTRI:17409198;CollecTRI:17942419;CollecTRI:18550526;CollecTRI:18771089;CollecTRI:19439223;CollecTRI:20083128;CollecTRI:20345481;CollecTRI:20501657;CollecTRI:20643109;CollecTRI:21555518;CollecTRI:21982894;CollecTRI:22107958;CollecTRI:22698995;CollecTRI:22735309;CollecTRI:23479260;CollecTRI:23737527
MAFK,HMOX1,-1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12356737;CollecTRI:22107958;CollecTRI:23737527
MYT1,PLP1,-1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12356912;CollecTRI:8530187
KLF6,IGF1,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12358767
TFAP2D,CALB2,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12359331;CollecTRI:15093134
SP1,GP6,1.0,CollecTRI;ExTRI_CollecTRI;SIGNOR_CollecTRI,CollecTRI:12359731
FLI1,GP6,1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI,CollecTRI:12359731
GATA1,GP6,1.0,CollecTRI;ExTRI_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI,CollecTRI:12359731;CollecTRI:12377757
IRF4,CCNB1,-1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12360402
REL,IER3,1.0,CollecTRI;DoRothEA_A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI,CollecTRI:12360408
MYC,IER3,-1.0,CollecTRI;DoRothEA_A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI,CollecTRI:12360408
NFKB1,IER3,1.0,CollecTRI;DoRothEA_A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI,CollecTRI:12360408;CollecTRI:9703517
RELA,IER3,1.0,CollecTRI;DoRothEA_A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI,CollecTRI:12360408;CollecTRI:18191642;CollecTRI:9703517
NFKB1,CDX2,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12360479;CollecTRI:16618413;CollecTRI:20303354
RELA,CDX2,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12360479
PGR,NFKBIA,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12361720
CREB1,TNFSF11,-1.0,CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12364326;CollecTRI:15731115;CollecTRI:16914731;CollecTRI:17053039;CollecTRI:19880655;CollecTRI:23439434
SP1,TAF7,1.0,CollecTRI;DoRothEA_A_CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;HTRI_CollecTRI;TRRUST_CollecTRI,CollecTRI:11340078;CollecTRI:12364593
HNF1A,SLC17A1,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12367519
ZNF160,GPT,-1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12367739
ZNF160,LCT,-1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12367739
E2F2,TERT,-1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;TFactS_CollecTRI,CollecTRI:12368233
E2F3,TERT,-1.0,CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI,CollecTRI:12368233
E2F4,TERT,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12368233
E2F5,TERT,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12368233
MAFA,INS,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;Pavlidis2021_CollecTRI;TRRUST_CollecTRI,CollecTRI:12368292;CollecTRI:12917329;CollecTRI:14680841;CollecTRI:14765989;CollecTRI:14973194;CollecTRI:15650027;CollecTRI:15664997;CollecTRI:15664999;CollecTRI:15665000;CollecTRI:15862113;CollecTRI:15923615;CollecTRI:15944145;CollecTRI:15993959;CollecTRI:16461554;CollecTRI:16505238;CollecTRI:16780794;CollecTRI:17149590;CollecTRI:17259388;CollecTRI:17300753;CollecTRI:17360442;CollecTRI:17449132;CollecTRI:17569705;CollecTRI:17583797;CollecTRI:17785922;CollecTRI:17927952;CollecTRI:18506085;CollecTRI:18515495;CollecTRI:19029092;CollecTRI:19264802;CollecTRI:19502415;CollecTRI:19576197;CollecTRI:19689288;CollecTRI:19785038;CollecTRI:21063109;CollecTRI:21278380;CollecTRI:21565207;CollecTRI:21830322;CollecTRI:22172402;CollecTRI:22466807;CollecTRI:22968147;CollecTRI:22974359;CollecTRI:23382704;CollecTRI:23737644;CollecTRI:23775071;CollecTRI:23927931;CollecTRI:24258027;CollecTRI:24472553;CollecTRI:8289826;CollecTRI:8584024;CollecTRI:9414097;CollecTRI:9604866
TBXT,CCNT1,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12368300
ARNT,CYP1A1,1.0,CollecTRI;ExTRI_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI,CollecTRI:12369894;CollecTRI:12376470;CollecTRI:15832810;CollecTRI:16111650;CollecTRI:17012224;CollecTRI:17023418;CollecTRI:19255421;CollecTRI:19287966;CollecTRI:19376845;CollecTRI:22387692;CollecTRI:8631128;CollecTRI:8647831;CollecTRI:9374477;CollecTRI:9717460
FOXA2,PTH,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12370121
GATA1,PTH,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12370121
NR3C1,PTH,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12370121
NFE2L2,KEAP1,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12370194;CollecTRI:12947090;CollecTRI:14585973;CollecTRI:14960151;CollecTRI:15122755;CollecTRI:16000310;CollecTRI:16092930;CollecTRI:16449638;CollecTRI:16951197;CollecTRI:17462537;CollecTRI:17636022;CollecTRI:17822677;CollecTRI:17925401;CollecTRI:18785192;CollecTRI:19633057;CollecTRI:20089859;CollecTRI:20354764;CollecTRI:20416283;CollecTRI:20460467;CollecTRI:20600948;CollecTRI:21638050;CollecTRI:21926171;CollecTRI:22275372;CollecTRI:22547061;CollecTRI:22549716;CollecTRI:23347118;CollecTRI:23382044;CollecTRI:23633659;CollecTRI:23801334;CollecTRI:23943804;CollecTRI:24102512;CollecTRI:24307696;CollecTRI:24503931;CollecTRI:24580727;CollecTRI:25337579
HIF1A,NT5E,1.0,CollecTRI;ExTRI_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI,CollecTRI:12370277
ZNF410,MMP1,1.0,CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI,CollecTRI:12370286
CREB1,NOCT,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI,CollecTRI:12370297
ZNF8,TGFB1,-1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12370310
CREM,CREM,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12370343;CollecTRI:17526487;CollecTRI:18180303;CollecTRI:19016003;CollecTRI:22281835;CollecTRI:8592516;CollecTRI:8943074;CollecTRI:9280058;CollecTRI:9597751
TP53,FDXR,1.0,CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI,CollecTRI:12370809
TP63,FDXR,1.0,CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI,CollecTRI:12370809
TP73,FDXR,1.0,CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI,CollecTRI:12370809
JUN,SPARC,1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI,CollecTRI:11042689;CollecTRI:12370830;CollecTRI:7988564
ESR1,GRIN2D,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12372009
ESR2,GRIN2D,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12372009
STAT4,PRF1,1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI,CollecTRI:12372421
FOXO1,TRIB3,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12373635;CollecTRI:12724332;CollecTRI:17805585;CollecTRI:18718910
ESR1,G6PC1,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12373635;CollecTRI:20022930
ELF1,SOD3,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12374566
CUX1,CD40,-1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12374738;CollecTRI:18085478
NFKB2,CD40,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12374738
SSRP1,CDKN1A,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12374749;CollecTRI:15557281;CollecTRI:16410722
SSRP1,MDM2,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12374749;CollecTRI:9472631
SSRP1,MRPL41,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12374749
SSRP1,SUPT7L,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12374749
SSRP1,TP63,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12374749
TP63,MRPL41,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12374749
TP53,MUC2,1.0,CollecTRI;DoRothEA_A_CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;HTRI_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI,CollecTRI:12374798
JUN,NPM1,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12374805
NFATC1,SUPT7L,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12374807;CollecTRI:16219537
NFATC2,CD3E,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12374807;CollecTRI:16219537
TCF3,MAPK14,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12377770
TCF3,VTN,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12377770
ESRRA,NR1D1,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12377782
USF1,TFF1,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12377807
USF1,TFF2,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12377807
MYC,TFF2,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12377807
SP3,ADIPOQ,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12378384
SP1,ADIPOQ,1.0,CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI,CollecTRI:12378384
SP2,CDKN1A,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12379120;CollecTRI:15790310
ONECUT1,AFP,1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI,CollecTRI:12379144
HIF1A,F2,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12379645
NKRF,ABCC8,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12381793
NKRF,NOS2,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12381793
NKRF,NFKB1,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12381793;CollecTRI:19542452;CollecTRI:21821668;CollecTRI:24223729
RERE,CD34,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12384146
TEAD1,ANKRD1,1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI,CollecTRI:12384280
ZBED1,MYB,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12384302
DLX4,MIA,-1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12384563
GLI3,CDKN1A,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12384701
ZBTB17,CDKN1A,-1.0,CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI,CollecTRI:12384701;CollecTRI:12408820;CollecTRI:12545156;CollecTRI:14560010;CollecTRI:15616584;CollecTRI:16142238;CollecTRI:16706751;CollecTRI:18451802;CollecTRI:20190815;CollecTRI:21804610;CollecTRI:22000024;CollecTRI:22099967;CollecTRI:22509363
MYC,BBC3,1.0,CollecTRI;DoRothEA_A_CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;HTRI_CollecTRI,CollecTRI:12384701;CollecTRI:12695333;CollecTRI:19815507;CollecTRI:20145032;CollecTRI:21835778
JUN,COL1A2,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12384935;CollecTRI:8621730
JUN,HP,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12384935;CollecTRI:22243239
GATA2,TSHB,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;Pavlidis2021_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI,CollecTRI:12385825;CollecTRI:16396960;CollecTRI:17244762;CollecTRI:18594277;CollecTRI:18653622;CollecTRI:19103719;CollecTRI:20838640;CollecTRI:21533184;CollecTRI:9305891
HNF1A,GSTA1,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI,CollecTRI:12386123;CollecTRI:17021248
PAX1,RPSA,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12386810
TP53,RPSA,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12386810
ELF4,PRF1,1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI,CollecTRI:12387738;CollecTRI:15013761;CollecTRI:16904644;CollecTRI:17213815
ETS1,PRF1,1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12387738;CollecTRI:15907486
PAX5,BLNK,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;Pavlidis2021_CollecTRI,CollecTRI:12387741
FOXC1,SOD2,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12388080;CollecTRI:18845242
STAT1,CCL2,1.0,CollecTRI;CytReg_CollecTRI;DoRothEA_A_CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI,CollecTRI:17167270;CollecTRI:17255531;CollecTRI:19404962;CollecTRI:19915063;CollecTRI:7561042;CollecTRI:9558097
TEAD4,S100B,-1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12388300
FOXA2,SAMHD1,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12388333
YY1,MUC1,1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI,CollecTRI:12388348;CollecTRI:15015602
JUN,SERPINE1,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:10591684;CollecTRI:11223948;CollecTRI:11440364;CollecTRI:12390531;CollecTRI:12905745;CollecTRI:14592829;CollecTRI:15069077;CollecTRI:16105028;CollecTRI:17890327;CollecTRI:20351105;CollecTRI:22926518;CollecTRI:8917435
NR3C1,HSD11B1,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12390875;CollecTRI:17951535
AR,RPL3,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12390891
POU2F1,CCND1,-1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI,CollecTRI:12391146;CollecTRI:14645506;CollecTRI:15282324;CollecTRI:15885880
RUNX2,CDKN1A,-1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12391164;CollecTRI:15107836;CollecTRI:17438369;CollecTRI:19179305;CollecTRI:21913213
ATF1,CD44,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12391222
ATF1,CD74,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12391222
ATF1,CIITA,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12391222
ATF1,HLA-E,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12391222
PPARG,CDH17,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12391285;CollecTRI:21159608
NCOR1,NOTCH1,-1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12392082;CollecTRI:15199112;CollecTRI:16373395;CollecTRI:18829436
NCOR1,RARB,-1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12392082
TP53,INS,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12392301;CollecTRI:22242153
JUN,PRKG1,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12392602
TCF3,NPPA,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12392994
CEBPB,CHAT,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12393272
MYB,CHAT,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12393272
SPI1,ADAM2,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12393465;CollecTRI:24639354;CollecTRI:7592651;CollecTRI:9442396
STAT3,BIRC5,1.0,CollecTRI;DoRothEA_A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;NTNU.Curated_CollecTRI;SIGNOR_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI,CollecTRI:12393476;CollecTRI:15077160;CollecTRI:15184887;CollecTRI:15469392;CollecTRI:16397018;CollecTRI:16651438;CollecTRI:17533050;CollecTRI:17880940;CollecTRI:17932422;CollecTRI:18242580;CollecTRI:19284568;CollecTRI:19880237;CollecTRI:20826784;CollecTRI:21344490;CollecTRI:22984561;CollecTRI:24431073;CollecTRI:26512963
PPARA,CRP,-1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI,CollecTRI:12393563
HIF1A,ABL1,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12393646
HIF1A,BCR,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12393646
ZNF148,ITGAM,-1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;TFactS_CollecTRI,CollecTRI:12393719
ZBTB22,AMY2A,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12395198
ZBTB22,ZBTB22,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12395198
GCM1,ERVW-1,1.0,CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI,CollecTRI:12397062;CollecTRI:16166624;CollecTRI:16528103;CollecTRI:19692500;CollecTRI:23867755;CollecTRI:24478419
KAT6B,MYBL2,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12397079
MAF,MORF4L1,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12397079
SSRP1,MYBL2,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12397079
BMAL1,BHLHE40,1.0,CollecTRI;GEREDB_CollecTRI;Pavlidis2021_CollecTRI;TRRUST_CollecTRI,CollecTRI:14672706;CollecTRI:16267380;CollecTRI:19032342
BHLHE40,BMAL1,-1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12397359;CollecTRI:14581485
BHLHE40,CLOCK,-1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12397359;CollecTRI:14581485;CollecTRI:14672706
CLOCK,BHLHE40,1.0,CollecTRI;Pavlidis2021_CollecTRI;TRRUST_CollecTRI,CollecTRI:14672706;CollecTRI:19032342
BHLHE40,PER1,1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI,CollecTRI:12397359;CollecTRI:15147242;CollecTRI:15193144;CollecTRI:17327493
BMAL1,BHLHE41,1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI,CollecTRI:15147242;CollecTRI:16267380;CollecTRI:16685415
BHLHE41,BMAL1,-1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12397359
CLOCK,BHLHE41,1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;TRRUST_CollecTRI,CollecTRI:14672706;CollecTRI:15147242;CollecTRI:16267380;CollecTRI:16685415
BHLHE41,CLOCK,-1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12397359
BHLHE41,PER1,-1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;GOA_CollecTRI,CollecTRI:12397359;CollecTRI:15147242;CollecTRI:15193144
AR,PECR,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12399412
ESR1,PECR,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12399412
SOX9,COL9A1,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12399468;CollecTRI:17264118
NR1H4,NELFE,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12401785
BCL6,SIRT1,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12402037;CollecTRI:23160044
TP53,BID,1.0,CollecTRI;DoRothEA_A_CollecTRI;ExTRI_CollecTRI;SIGNOR_CollecTRI,CollecTRI:12402042;CollecTRI:16151013;CollecTRI:18574470
TP53,PTTG1,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI,CollecTRI:12355087;CollecTRI:12403781;CollecTRI:15016801
SP1,PTTG1,1.0,CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI,CollecTRI:12403781;CollecTRI:14644503;CollecTRI:18339849
STAT1,CXCL9,1.0,CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI,CollecTRI:12403783;CollecTRI:19136629;CollecTRI:20585034;CollecTRI:9680354
STAT1,TNF,1.0,CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI,CollecTRI:12403783;CollecTRI:17878383;CollecTRI:21659501;CollecTRI:22589541;CollecTRI:23922745;CollecTRI:24012417;CollecTRI:9169460
STAT1,CREBBP,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12403783
NR2F1,CAMK4,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12403833
CDX2,CDH17,1.0,CollecTRI;DoRothEA_A_CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI,CollecTRI:12404231;CollecTRI:15732140;CollecTRI:16616718;CollecTRI:20568120
IRF6,IL10RA,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12405978
GSX1,GSX1,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12406228
EGR1,RET,1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12406571
SSRP1,BCL2,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12406903
KLF6,KRT12,1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;TRRUST_CollecTRI,CollecTRI:12407152
ELF3,TIMP3,1.0,CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI,CollecTRI:12407165
REL,SELE,1.0,CollecTRI;DoRothEA_A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;TRRUST_CollecTRI,CollecTRI:12408953
MEF2C,NPPA,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12408979;CollecTRI:15485823;CollecTRI:15486975
CEBPG,SAA1,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12410800;CollecTRI:7706280
SMAD2,NOS3,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12411395;CollecTRI:17058229
RFX1,MAP1A,-1.0,CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI,CollecTRI:12411430
E2F2,CDC6,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI,CollecTRI:12411495
E2F3,CDC6,1.0,CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI,CollecTRI:12411495;CollecTRI:18541154
YY1,CDC6,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI,CollecTRI:12411495
E2F1,CDC6,1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI,CollecTRI:11799067;CollecTRI:12411495;CollecTRI:18541154;CollecTRI:19633359
HIF1A,NPPA,1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI,CollecTRI:12413399
SSRP1,NPPA,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12413399
TP53,TBXT,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12414647;CollecTRI:20422012;CollecTRI:20570896;CollecTRI:8892753
ATF3,PFDN4,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12414651
ATF3,RBBP7,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12414651
BCL6,PFDN4,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12414651
BCL6,RBBP7,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12414651
BCL6,ARID1B,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12414651
KAT7,CCNE1,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12414652
ATF1,JUN,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12414794
ELF3,CCL20,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12414801
SP1,CCL20,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12414801
FOXO1,SLC2A4,1.0,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12414908;CollecTRI:16670091;CollecTRI:17317207
PAX3,SLC2A4,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12414908
REL,BIRC3,1.0,CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI,CollecTRI:11880364;CollecTRI:12414938;CollecTRI:23271966
REL,C4B_2,1.0,CollecTRI;ExTRI_CollecTRI,CollecTRI:12414938
TCF3,RAG2,1.0,CollecTRI;ExTRI_CollecTRI;Pavlidis2021_CollecTRI,CollecTRI:12415115;CollecTRI:21655267
REST,PRLHR,-1.0,CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI,CollecTRI:12417311;CollecTRI:23284171
