"","X","source","target","weight"
"5076",5966,"","TIMP1",1
"5077",5967,"LOC100624946","TGFB1",-1
"5078",5968,"STAT5A","LOC100622963",1
"5079",5971,"LOC100738718","Mapk7",1
"5080",5972,"LOC100153751","RETN",1
"5081",5973,"LOC100153751","RETNLB",1
"5082",5974,"LOC100627682","RETN",1
"5083",5975,"LOC100627682","RETNLB",1
"5084",5976,"LOC100525580","RETNLB",1
"5085",5977,"RELA","CD86",1
"5086",5978,"USF2","FASLG",1
"5087",5980,"","B3gnt9",1
"5088",5981,"SP1","IFNG",1
"5089",5982,"SP1","IL12A",1
"5090",5983,"SP1","NRP1",1
"5091",5984,"LOC100738718","PPARGC-1",1
"5092",5985,"MYOG","MYOD1",1
"5093",5986,"ESR2","TGFB3",1
"5094",5987,"LOC100627358","CDKN2AIP",1
"5095",5988,"LOC100623338","LOC100515788",1
"5096",5989,"USF2","LOC100515788",1
"5097",5991,"LOC100621629","PCYT1A",1
"5098",5992,"Yy1","IFNB1",-1
"5099",5993,"FOXO1","LOC100521689",1
"5100",5994,"","LOC100517137",-1
"5101",5995,"TFAP2A","LOC100156022",1
"5102",5996,"STAT5B","CCND2",1
"5103",5997,"STAT5B","PPARG",1
"5104",5998,"KLF13","NOS2",1
"5105",5999,"KLF6","NOS2",1
"5106",6000,"STAT3","NPY",1
"5107",6001,"LOC100623748","LOC100524822",1
"5108",6002,"HNF4A","Myc",1
"5109",6003,"TP53","",-1
"5110",6004,"AR","LOC100517918",1
"5111",6005,"HNF4A","FGL2",1
"5112",6006,"BCL6","",-1
"5113",6007,"BCL6","LOC100153751",1
"5114",6008,"BCL6","IL-6",-1
"5115",6009,"BCL6","LOC100623668",1
"5116",6010,"LOC100153751","IL-6",1
"5117",6011,"","",1
"5118",6014,"TFAP2A","DEK",1
"5119",6015,"CEBPA","C7",1
"5120",6016,"Pitx1","LOC100523602",1
"5121",6017,"TFAP2A","",1
"5122",6018,"LOC100526226","HNF1A",-1
"5123",6019,"CREB1","CD86",1
"5124",6021,"LOC100737684","CCL5",1
"5125",6022,"RELA","CCL5",1
"5126",6023,"IRF3","ISG15",1
"5127",6024,"IRF7","ISG15",1
"5128",6025,"Mnt","GLMN",-1
"5129",6026,"MXI1","ASS1",-1
"5130",6027,"MXI1","GLMN",-1
"5131",6028,"LOC100738392","TES",1
"5132",6029,"FOXO1","PPARGC-1",1
"5133",6030,"HIF1A","MDM2",1
"5134",6031,"TP53","THBS1",1
"5135",6032,"LOC100522504","WT1",1
"5136",6033,"WT1","LOC100522504",1
"5137",6034,"NR1I2","LMO2",1
"5138",6036,"ETS1","",1
"5139",6037,"GATA1","",1
"5140",6038,"TP53","APOE",1
"5141",6039,"MYST2","LOC100623143",1
"5142",6040,"LOC100521989","Mrgprf",1
"5143",6041,"LOC100624472","Mrgprf",1
"5144",6042,"LOC100625315","Mrgprf",-1
"5145",6043,"LOC100153846","",1
"5146",6044,"","HMOX1",1
"5147",6045,"LOC100525290","LOC100738417",1
"5148",6046,"ETS1","NRP1",1
"5149",6047,"USF2","NR2F2",1
"5150",6048,"USF2","PITX2",1
"5151",6049,"Mnt","",-1
"5152",6050,"LOC396710","",1
"5153",6051,"POU5F1","",1
"5154",6052,"LOC100516014","NR2C2",1
"5155",6053,"LOC100621629","CA9",1
"5156",6054,"LOC100152845","PRL",1
"5157",6055,"Fosb","FASLG",1
"5158",6056,"LOC100624472","FASLG",1
"5159",6059,"LOC100621341","SLC9A1",1
"5160",6060,"TFAP2A","SLC9A1",1
"5161",6063,"Tbx6","DLL1",1
"5162",6064,"AR","Appl1",1
"5163",6065,"Foxd2","PRKAR1A",1
"5164",6066,"KLF3","Hbb-bh1",1
"5165",6067,"SMAD4","THBS1",1
"5166",6068,"SMAD4","VEGFA",-1
"5167",6069,"","GNAI2",1
"5168",6072,"NFATC3","CD40LG",1
"5169",6073,"LOC100625312","ZFP1",-1
"5170",6074,"LOC100624472","IFNG",1
"5171",6075,"SP1","HMGCS2",1
"5172",6076,"MYB","TRHR",1
"5173",6077,"","PTHLH",1
"5174",6078,"STAT3","NDUFA13",1
"5175",6079,"LOC100153846","CDK1",1
"5176",6081,"","DLST",1
"5177",6082,"NCOA1","LOC100737684",1
"5178",6083,"","LOC100737684",1
"5179",6084,"CAR","EDN1",1
"5180",6085,"TP53","IGF1",1
"5181",6087,"Snai1","MMP2",-1
"5182",6088,"Snai1","LOC100522394",-1
"5183",6089,"Snai1","STIM1",-1
"5184",6090,"LOC100523307","BCL2L1",1
"5185",6091,"Myc","NBN",1
"5186",6092,"","BRCA1",1
"5187",6093,"EGR1","",-1
"5188",6094,"LOC100621629","IL-1beta",1
"5189",6095,"WT1","IL-1beta",1
"5190",6096,"EGR1","SP1",1
"5191",6097,"SP1","PON1",1
"5192",6098,"LOC100738207","LOC100517399",1
"5193",6099,"HMGA1","BRCA1",-1
"5194",6100,"TP63","SFN",1
"5195",6101,"FOXA2","",1
"5196",6102,"FOXA2","CFH",1
"5197",6103,"ZIC1","LOC100515497",-1
"5198",6104,"TFAP2A","LOC100514804",1
"5199",6105,"ETS1","PCYT1A",1
"5200",6106,"TEAD2","PCYT1A",1
"5201",6107,"","CCNG1",1
"5202",6108,"MYOD1","ACACB",1
"5203",6109,"LOC396709","ACACB",1
"5204",6112,"LOC100523307","GNRHR",1
"5205",6113,"POU3F2","AVP",1
"5206",6114,"POU3F2","CRH",1
"5207",6115,"Myc","LOC100626636",1
"5208",6116,"LOC100523307","CPB2",1
"5209",6117,"LOC100738308","LOC100515138",1
"5210",6118,"","LOC100521757",1
"5211",6119,"LOC396709","GHRHR",1
"5212",6120,"GATA1","YBX1",1
"5213",6121,"GATA2","YBX1",1
"5214",6122,"","CSF2",1
"5215",6123,"ESR2","PSMD4",1
"5216",6124,"AR","LOC100516955",1
"5217",6125,"PLAG1","LOC100517918",1
"5218",6126,"PLAG1","LOC100516955",1
"5219",6127,"STAT5A","LOC100517773",1
"5220",6128,"Myc","SPP1",1
"5221",6129,"POU2F1","SPP1",1
"5222",6130,"TFAP2A","PTHLH",1
"5223",6131,"LOC100737684","PTPN6",1
"5224",6132,"LOC100621629","PARP1",1
"5225",6136,"SP1","Stra13",1
"5226",6137,"NFE2L2","LOC100153977",1
"5227",6138,"CREB1","PCNA",1
"5228",6139,"","LOC100738967",1
"5229",6140,"GATA1","LOC100737684",1
"5230",6141,"LOC100154087","LOC100737684",1
"5231",6143,"LOC100737684","LOC100522769",1
"5232",6144,"POU2F3","RHOH",1
"5233",6146,"LOC100737684","",1
"5234",6147,"SP1","",1
"5235",6148,"NR0B1","LOC100152776",-1
"5236",6149,"NR1H4","LOC100152776",1
"5237",6150,"NR1H4","NR0B1",1
"5238",6151,"NFE2L2","TXN",1
"5239",6152,"","LOC100515788",1
"5240",6153,"LOC100520162","LOC100621521",1
"5241",6154,"LOC100738718","BMP2",1
"5242",6155,"","PIK3C3",1
"5243",6156,"LOC100738718","C920025E04Rik",1
"5244",6157,"LOC100512643","TYR",1
"5245",6158,"LOC100512643","TYRP1",1
"5246",6159,"LOC100517563","TYR",1
"5247",6160,"USF1","CD40",1
"5248",6161,"USF1","LOC100037976",1
"5249",6162,"USF2","CD40",1
"5250",6163,"USF2","LOC100037976",1
"5251",6164,"ATF2","ATF2",1
"5252",6166,"POU5F1","LOC100516237",1
"5253",6167,"","INSR",1
"5254",6168,"SP1","INSR",1
"5255",6169,"SP1","HMGA1",1
"5256",6171,"","BCL2A1",1
"5257",6172,"LOC100624472","GTF2B",1
"5258",6173,"CREB1","RB1",1
"5259",6176,"RELA","LOC100620468",1
"5260",6177,"FOS","CCL8",1
"5261",6178,"","RB1",1
"5262",6179,"EMX2","WNT1",1
"5263",6180,"POU1F1","LOC100518251",1
"5264",6181,"TP53","NME1",1
"5265",6182,"TFAP2D","OPRM1",1
"5266",6183,"","OPRM1",1
"5267",6184,"EGR1","LOC100525150",1
"5268",6185,"LOC100525580","LOC100511886",1
"5269",6186,"NR2C2","LOC100525120",1
"5270",6187,"","IL-6",1
"5271",6188,"GATA1","MYB",1
"5272",6189,"TP53","KLF6",1
"5273",6190,"LOC100153846","TP53",1
"5274",6192,"","LOC100522571",-1
"5275",6193,"ELF1","LOC100522571",1
"5276",6194,"","LOC100522571",-1
"5277",6195,"","LOC100522571",-1
"5278",6197,"PPARG","Mcm7",-1
"5279",6199,"LOC100738625","LOC100738877",1
"5280",6200,"WT1","",1
"5281",6201,"HES1","",1
"5282",6204,"SP1","UGDH",1
"5283",6205,"LOC100517563","LOC100518694",1
"5284",6206,"LOC100517563","LOC100621099",1
"5285",6207,"","LOC100525150",1
"5286",6208,"","TYRP1",1
"5287",6209,"LOC100517563","LOC100525150",1
"5288",6211,"SP1","WT1",1
"5289",6212,"LOC100737684","NOS2",1
"5290",6213,"SP1","SCNN1A",1
"5291",6214,"LOC100621629","SCNN1A",1
"5292",6215,"SP1","Gm5601",1
"5293",6216,"LOC100621629","Gm5601",1
"5294",6217,"MXD1","Ins2",-1
"5295",6218,"MXD1","PDX1",-1
"5296",6219,"PDX1","MXD1",1
"5297",6220,"USF1","BDNF",1
"5298",6221,"LOC100622994","PTH",-1
"5299",6222,"LOC100622994","NOS3",-1
"5300",6223,"LOC100622994","SP1",-1
"5301",6224,"SP1","LOC100622994",1
"5302",6225,"","GUSB",1
"5303",6226,"GATA4","LOC100621117",1
"5304",6227,"LOC100511417","LOC100621117",1
"5305",6229,"LOC100627682","LOC100037976",1
"5306",6230,"NR2F6","LOC100524822",-1
"5307",6232,"Nfkb1","CXCR4",1
"5308",6233,"RELA","CXCR4",1
"5309",6234,"LOC100738718","CDK5",1
"5310",6235,"ARNTL","LOC100524323",1
"5311",6236,"ARNTL","HIF1A",1
"5312",6237,"PITX2","NPPA",1
"5313",6238,"BCL11B","TAT",1
"5314",6239,"TP53","ARID3A",1
"5315",6240,"HES1","DNASE2",1
"5316",6241,"SP1","DNASE2",1
"5317",6242,"LOC100621629","DNASE2",1
"5318",6243,"","MYOG",1
"5319",6244,"NR4A2","DBH",1
"5320",6245,"","LOC100739124",1
"5321",6246,"","LOC100518788",1
"5322",6247,"MITF","LOC100518788",1
"5323",6252,"EPAS1","Gm20899",1
"5324",6253,"SP1","St3gal3",1
"5325",6254,"STAT5A","DLL1",1
"5326",6255,"STAT5A","",1
"5327",6257,"LOC100738392","",1
"5328",6258,"LOC100738392","PRKACA",1
"5329",6260,"LOC100738392","AKR1B1",1
"5330",6261,"LOC100738392","CD86",1
"5331",6262,"NFYB","C920025E04Rik",1
"5332",6265,"MYST2","BGLAP",1
"5333",6266,"HIF1A","RHO",1
"5334",6267,"NR1H3","G6pc",-1
"5335",6268,"NR1H3","PCK1",1
"5336",6269,"NR1H3","LOC100739542",1
"5337",6270,"PITX2","CYP19A1",1
"5338",6271,"SP1","BGLAP",1
"5339",6272,"Pitx1","LOC100525528",1
"5340",6273,"","LOC100525528",-1
"5341",6274,"RBPJ","NFKBIA",1
"5342",6278,"SPDEF","LOC100518718",1
"5343",6279,"","LOC100520667",1
"5344",6280,"","ACTA1",1
"5345",6281,"TP53","HIPK1",1
"5346",6282,"PPARG","BGLAP",-1
"5347",6283,"DDIT3","IL-6",-1
"5348",6287,"SP1","ETS1",1
"5349",6288,"","SP1",1
"5350",6290,"Jdp2","CD40",-1
"5351",6291,"Jdp2","CTSK",-1
"5352",6292,"PPARG","FASLG",1
"5353",6293,"LOC100524949","LOC100739743",1
"5354",6294,"ZNF384","IL4",1
"5355",6295,"NR1H4","APOA5",1
"5356",6296,"LOC100624946","APOA5",1
"5357",6297,"LOC100737684","VDR",1
"5358",6298,"Dlx4","LOC100739604",-1
"5359",6299,"Dlx4","WNT1",-1
"5360",6300,"LOC100521975","LOC100739604",1
"5361",6302,"LOC100524949","T",1
"5362",6305,"LOC100511417","Ins2",1
"5363",6306,"LOC100511417","PPY",1
"5364",6307,"LOC100511417","SST",1
"5365",6308,"PDX1","PPY",1
"5366",6310,"MTF1","GADD45G",1
"5367",6311,"NFE2L2","GSR",1
"5368",6313,"","LOC100739734",-1
"5369",6315,"LOC396709","LOC100739734",1
"5370",6316,"LOC396709","LOC100627422",1
"5371",6317,"LOC396709","TERT",1
"5372",6319,"","LOC100739734",1
"5373",6320,"PAX6","PAX2",-1
"5374",6321,"LOC100738392","AMHR2",1
"5375",6322,"LOC100515914","GPIBA",1
"5376",6323,"GATA1","GPIBA",1
"5377",6324,"GATA1","Gp9",1
"5378",6326,"LOC100737684","CDH1",1
"5379",6327,"LOC100511005","ACTB",1
"5380",6328,"LOC100738625","LOC100621037",1
"5381",6329,"Myc","TMEFF2",1
"5382",6330,"GATA4","MBF1",1
"5383",6331,"LOC100624472","NPPA",1
"5384",6332,"LOC100737684","",1
"5385",6333,"","RETN",1
"5386",6334,"LOC100624946","",-1
"5387",6337,"","",1
"5388",6339,"IRF1","LOC100739227",-1
"5389",6340,"SP1","LOC100739227",1
"5390",6341,"IRF1","SP1",1
"5391",6342,"IRF2","LOC100739227",1
"5392",6343,"IRF3","LOC100739227",1
"5393",6344,"TP53","LOC100739227",-1
"5394",6345,"RELA","PPARG",1
"5395",6346,"Sox8","Amh",1
"5396",6347,"TBX2","LOC100626636",1
"5397",6348,"LOC100621629","TFAP2C",-1
"5398",6349,"TFAP2C","TFAP2C",1
"5399",6350,"TP53","",-1
"5400",6354,"MYB","PIM1",1
"5401",6355,"LOC100525580","Cebpd",1
"5402",6356,"LOC100525580","EBP",1
"5403",6357,"LOC100525580","LOC100737938",1
"5404",6361,"","IKBKE",1
"5405",6362,"LOC100525580","IKBKE",1
"5406",6363,"SP1","LOC100518718",1
"5407",6364,"LOC100621629","LOC100518718",1
"5408",6365,"ARNTL","SERPINE1",1
"5409",6366,"IRF2","LOC100738967",1
"5410",6367,"HIF1A","WT1",1
"5411",6368,"ETV6","GPIBA",-1
"5412",6369,"IRF1","ADH4",1
"5413",6370,"ETS1","LOC100623143",1
"5414",6371,"LOC100627430","CDC25C",1
"5415",6372,"ZHX2","CDC25C",-1
"5416",6374,"NFIL3","Ptgs2",-1
"5417",6375,"NFE2L2","PRDX1",1
"5418",6376,"LOC100737684","",1
"5419",6377,"SP1","",1
"5420",6378,"RELA","LOC100524949",1
"5421",6379,"Nfkb1","LOC100524949",1
"5422",6380,"TP53","",1
"5423",6381,"","LOC100739434",1
"5424",6382,"LOC100511298","LOC100739434",1
"5425",6383,"","LOC100621099",1
"5426",6384,"","LOC100523213",1
"5427",6385,"","LOC100621099",1
"5428",6386,"","LOC100738967",1
"5429",6387,"LOC100522341","SCAI",1
"5430",6388,"LOC100621582","LOC100738589",1
"5431",6389,"MYOG","MSTN",1
"5432",6390,"ELK1","PSEN1",1
"5433",6391,"LOC100513560","PSEN1",1
"5434",6392,"LOC100152845","PSEN1",1
"5435",6393,"LOC100737684","MDM2",1
"5436",6394,"","MDM2",1
"5437",6395,"LOC100737684","TP53",-1
"5438",6396,"Msx2","IBSP",1
"5439",6397,"LOC100737965","IBSP",1
"5440",6398,"HNF4A","LOC100522394",1
"5441",6399,"ATF2","FASLG",1
"5442",6401,"POU2F1","FGL2",1
"5443",6402,"SP1","FGL2",1
"5444",6403,"LOC100621629","FGL2",1
"5445",6405,"LOC100521411","LOC100513875",1
"5446",6406,"LOC100521411","MOV10L1",1
"5447",6407,"Yy1","",-1
"5448",6408,"Yy1","LOC100736982",-1
"5449",6409,"EGR1","MDM2",1
"5450",6410,"EGR1","TP53",1
"5451",6411,"PAX2","MITF",1
"5452",6412,"PAX6","MITF",1
"5453",6414,"Nfkb1","IFNG",1
"5454",6415,"Nfkb1","SAMHD1",1
"5455",6417,"RELA","Sult1e1",1
"5456",6418,"TP63","Sult1e1",1
"5457",6420,"Nfkb1","BMP2",1
"5458",6421,"RELA","BMP2",1
"5459",6422,"Yy1","",1
"5460",6423,"","LOC100157000",1
"5461",6425,"IRF1","LOC100157000",1
"5462",6426,"NOR-1","",1
"5463",6427,"NR1H4","KNG1",1
"5464",6428,"FOXO4","EPO",1
"5465",6429,"FOXO4","VEGFA",1
"5466",6430,"Snai1","GHRHR",-1
"5467",6431,"ESR2","PGR",1
"5468",6432,"PPARG","SCARB1",1
"5469",6433,"LOC100624946","SCARB1",1
"5470",6434,"SP1","ACACB",1
"5471",6435,"","ACACB",1
"5472",6436,"RXRB","LOC396710",1
"5473",6437,"NR3C2","INSR",1
"5474",6438,"Myc","SKP2",1
"5475",6439,"Dlx4","CDH1",-1
"5476",6440,"Dlx4","",-1
"5477",6441,"LOC100521975","",1
"5478",6442,"TP53","PRKAB1",1
"5479",6443,"LOC733643","NR0B1",-1
"5480",6444,"NR0B1","LOC733643",-1
"5481",6445,"E2F4","CCNB2",-1
"5482",6446,"LOC100737827","CCNB2",-1
"5483",6447,"","LOC100520993",1
"5484",6448,"HOXD13","LOC100520993",1
"5485",6450,"","FABP7",1
"5486",6451,"LOC100523859","LOC100522394",-1
"5487",6452,"SP1","LOC100515279",1
"5488",6453,"","MYB",1
"5489",6457,"","CDKN1B",1
"5490",6458,"","MBP",1
"5491",6459,"LOC100621629","CDKN1B",1
"5492",6460,"HNF4A","LOC100152038",1
"5493",6461,"HNF4A","NR1I2",1
"5494",6462,"GATA4","DIO2",1
"5495",6463,"LOC100521411","DIO2",1
"5496",6464,"NR2F2","",1
"5497",6465,"PITX2","",1
"5498",6466,"","",1
"5499",6467,"NR2F2","LOC100737517",1
"5500",6468,"PITX2","LOC100737517",1
"5501",6469,"PPARG","LOC100739542",-1
"5502",6470,"Rxra","LOC100739542",-1
"5503",6471,"LOC100737684","",1
"5504",6472,"","",1
"5505",6473,"","LOC100522182",-1
"5506",6474,"","LOC100627682",1
"5507",6475,"ONECUT1","PDX1",1
"5508",6476,"Dlx4","RPS6KB1",-1
"5509",6478,"LOC100738392","LOC100627733",1
"5510",6479,"LOC100737684","",1
"5511",6480,"LOC100737684","FOLR1",-1
"5512",6481,"LOC100737684","SLC10A4",1
"5513",6482,"ESR2","FOLR1",1
"5514",6483,"Sox8","MYOG",-1
"5515",6485,"KAT5","TNF",1
"5516",6486,"SIX1","LOC100737938",1
"5517",6487,"SIX1","SALL1",1
"5518",6488,"Nfkb1","Myc",1
"5519",6489,"ESR2","CCL8",1
"5520",6490,"SP1","ESR2",1
"5521",6491,"SP1","DLST",1
"5522",6492,"LOC100624472","LGALS3",1
"5523",6493,"ELK1","LOC100623886",1
"5524",6494,"ELK3","LOC100623886",1
"5525",6495,"TP53","LOC100737614",1
"5526",6496,"LOC100737684","RBL2",1
"5527",6497,"E2F4","LOC100737684",-1
"5528",6498,"E2F4","",-1
"5529",6499,"TP53","LOC100623437",1
"5530",6500,"LOC100624946","Ptprf",1
"5531",6502,"SRF","CSRP2",1
"5532",6503,"SP1","CXCR4",1
"5533",6504,"LOC100512363","LOC100738877",1
"5534",6505,"NEUROD1","EDNRA",1
"5535",6506,"SP1","PRKCA",1
"5536",6507,"FOS","LOC100524932",1
"5537",6508,"LOC100624472","PRKCA",1
"5538",6509,"LOC100624472","LOC100524932",1
"5539",6510,"LOC100525580","IRF6",1
"5540",6511,"Tfap4","IL-1beta",1
"5541",6512,"Tfap4","TGFB1",1
"5542",6513,"","",-1
"5543",6514,"MYB","PRKACA",1
"5544",6516,"AR","Myc",1
"5545",6517,"LOC100625253","LEP",1
"5546",6518,"","LOC100623923",1
"5547",6520,"LOC100521005","LCK",1
"5548",6521,"SP1","LOC100515138",1
"5549",6522,"SP1","LOC100739422",1
"5550",6523,"SP1","TFAP2C",1
"5551",6524,"SP1","STARD3",1
"5552",6525,"SP1","LOC100516641",1
"5553",6526,"SP1","PTEN",1
"5554",6527,"Yy1","CCL2",1
"5555",6528,"MTF1","HSPA4",1
"5556",6529,"LOC100526226","NR1I2",-1
"5557",6531,"Yy1","SERPINE1",-1
"5558",6532,"NFKB2_TV2","LOC100738589",1
"5559",6533,"TP53","NFKB2_TV2",1
"5560",6535,"GLI1","PTHLH",1
"5561",6536,"POU1F1","",1
"5562",6537,"SP1","PTH",1
"5563",6538,"LOC100621629","PTH",1
"5564",6539,"","PTH",1
"5565",6540,"LOC100737684","LOC100626636",1
"5566",6541,"LOC100736643","NTRK1",1
"5567",6542,"NOR-1","TGFB1",1
"5568",6543,"","ODC",1
"5569",6544,"STAT5A","",1
"5570",6545,"STAT5A","LOC100738189",1
"5571",6546,"LOC100738189","LOC100622266",1
"5572",6547,"STAT5A","LOC100622266",1
"5573",6548,"IRF1","NOD1",1
"5574",6549,"HSF2","HSPA4",1
"5575",6550,"CREB1","FRZB",1
"5576",6551,"HES1","EFNB2",1
"5577",6552,"HEY1","EFNB2",1
"5578",6553,"HEY1","NOTCH4",1
"5579",6554,"HEY2","EFNB2",1
"5580",6555,"HEY2","NOTCH4",1
"5581",6556,"Dlx5","BMP2",1
"5582",6557,"Dlx5","LOC100737965",1
"5583",6559,"PITX2","LOC100524967",1
"5584",6560,"PITX2","LOC100626145",1
"5585",6561,"","Tom1",1
"5586",6562,"","BACE1",1
"5587",6563,"GATA1","BACE1",1
"5588",6564,"","LOC100739005",1
"5589",6565,"LOC100624946","IFNG",-1
"5590",6566,"BCL6","IL18",1
"5591",6568,"TFAP2A","LOC100521017",1
"5592",6570,"APEX1","NQO1",1
"5593",6571,"SP1","LOC100627144",1
"5594",6572,"LOC100621629","LOC100627144",1
"5595",6573,"SP1","PTGES",1
"5596",6574,"SP1","",1
"5597",6575,"LOC100518190","",1
"5598",6576,"MITF","LOC100520532",1
"5599",6578,"FOXO1","PDK4",1
"5600",6579,"LOC100525796","LOC100738589",1
"5601",6580,"LOC100525796","",-1
"5602",6581,"","ADH4",1
"5603",6582,"MXD1","Mtpn",-1
"5604",6583,"","ID2",1
"5605",6584,"MXD1","ID2",-1
"5606",6585,"LOC100739155","ID2",-1
"5607",6586,"EPAS1","GHRHR",1
"5608",6587,"HIF3A","GHRHR",1
"5609",6588,"KLF6","LOC100152960",1
"5610",6589,"TP53","CCNE1",1
"5611",6591,"Tbx6","Tbx6",1
"5612",6592,"NR5A2","Adipoq",1
"5613",6593,"LOC100624946","Adipoq",1
"5614",6594,"LOC100621006","",-1
"5615",6595,"PPARG","SFTPB",-1
"5616",6596,"LOC100626975","LOC100519581",1
"5617",6597,"LOC100626975","Gjb2",1
"5618",6598,"IRF3","IFIT2",1
"5619",6600,"","PRDX6",1
"5620",6601,"","SLC4A1",1
"5621",6602,"GATA1","Myc",-1
"5622",6603,"LOC100738612","LOC100737890",1
"5623",6604,"LOC100738612","LOC100738058",1
"5624",6605,"LOC100738612","LOC100624812",1
"5625",6606,"LOC100624472","LOC100624812",1
"5626",6607,"","LOC100627476",1
"5627",6608,"RUNX1","",1
"5628",6609,"IRF1","LOC100739576",1
"5629",6611,"NFKB2_TV2","LOC100738877",1
"5630",6612,"BCL3","LOC100738877",1
"5631",6613,"Tfap4","IFNG",1
"5632",6614,"Yy1","IFNG",1
"5633",6615,"ATF2","IFNG",1
"5634",6616,"MITF","XRCC1",1
"5635",6617,"LOC100621629","LOC100038019",1
"5636",6618,"HNF1A","",1
"5637",6619,"Neurog3","",1
"5638",6620,"","PTEN",1
"5639",6621,"","TP53",1
"5640",6622,"PPARG","LOC396710",1
"5641",6623,"","LOC100522679",1
"5642",6624,"POU5F1","BRCA1",-1
"5643",6625,"LOC100736898","LOC100623143",1
"5644",6626,"FOXM1","LOC100526226",1
"5645",6627,"HNF4A","LOC100526226",1
"5646",6628,"LOC100737684","LOC100526226",-1
"5647",6629,"ETS1","TFAP2A",1
"5648",6630,"MYOD1","UCP3",1
"5649",6631,"PPARD","UCP3",1
"5650",6632,"","LOC100516641",1
"5651",6635,"STAT3","",1
"5652",6636,"","IL10",1
"5653",6637,"Cebpd","IL10",1
"5654",6638,"NR1I2","",1
"5655",6639,"USF1","LOC100157073",-1
"5656",6641,"LOC100523307","BDNF",1
"5657",6642,"LOC100523307","FGF2",1
"5658",6643,"NR3C2","BDNF",1
"5659",6644,"NR3C2","FGF2",1
"5660",6645,"NR5A2","CEL",1
"5661",6646,"Myc","LOC100624472",1
"5662",6648,"LOC100624349","IL-6",1
"5663",6649,"KLF2","",1
"5664",6650,"Myc","CSF2",1
"5665",6651,"","ITGAL",1
"5666",6652,"BCL11A","ITGAL",1
"5667",6653,"BCL11A","ITGB2",1
"5668",6655,"LOC100513560","",1
"5669",6658,"","",1
"5670",6660,"LOC100626275","LOC100516832",1
"5671",6661,"CDX2","LOC100516832",1
"5672",6662,"HNF1A","LOC100516832",1
"5673",6663,"HNF1B","LOC100516832",1
"5674",6665,"LOC396710","",1
"5675",6666,"Myc","LOC100738607",1
"5676",6667,"USF1","LOC100738607",1
"5677",6668,"USF2","LOC100738607",1
"5678",6671,"LOC100625305","",1
"5679",6676,"RELA","",1
"5680",6677,"RELA","",1
"5681",6678,"","RELA",1
"5682",6679,"","",1
"5683",6682,"LOC100738308","LOC100521689",1
"5684",6683,"","LOC100620737",1
"5685",6684,"BCL6","CD80",-1
"5686",6685,"SKIL","IL4",-1
"5687",6686,"SKIL","T",-1
"5688",6687,"LOC100738392","LOC100739773",1
"5689",6688,"NR5A2","LOC100739773",1
"5690",6689,"FOXA2","LOC100624633",1
"5691",6690,"LOC100524323","FKBP5",1
"5692",6692,"LOC100524323","TXNRD1",1
"5693",6693,"LOC100524323","LOC100520041",1
"5694",6696,"PBX1","Gas1",1
"5695",6697,"STAT5A","Gas1",1
"5696",6698,"STAT5A","LOC100625743",1
"5697",6699,"TP53","",1
"5698",6703,"","LOC733653",1
"5699",6704,"PITX2","F7",1
"5700",6705,"","HSPA5",1
"5701",6706,"Gm1862","HSPA5",1
"5702",6707,"CREB1","HSPA5",1
"5703",6708,"Tcf20","LOC100627297",1
"5704",6711,"LOC100515914","",1
"5705",6712,"LOC100737684","Gm5806",1
"5706",6713,"T","",1
"5707",6714,"","RUNX1T1",-1
"5708",6715,"","RUNX1T1",1
"5709",6716,"","",1
"5710",6717,"","MTR",1
"5711",6718,"PITX2","MTR",1
"5712",6719,"PITX2","",1
"5713",6721,"TP53","",-1
"5714",6722,"MXD1","TP53",-1
"5715",6723,"MXD1","",-1
"5716",6724,"PBX1","NPY",1
"5717",6725,"LOC100512227","LMO4",1
"5718",6727,"HNF4A","STK11",1
"5719",6728,"LOC100738612","ASNS",1
"5720",6729,"CEBPZ","Col1a1",1
"5721",6730,"","LOC100520144",1
"5722",6731,"WT1","SPRY1",1
"5723",6733,"LOC100624946","APOA1",1
"5724",6734,"TP53","ATP7A",1
"5725",6735,"ELF1","LOC100516255",1
"5726",6736,"ELF1","TSC2",1
"5727",6737,"LOC100624697","LOC100515788",1
"5728",6738,"SP1","HP",1
"5729",6739,"TP53","Prc1",-1
"5730",6740,"","APP",1
"5731",6743,"LOC100624946","SCP2",1
"5732",6745,"EGR1","AR",-1
"5733",6746,"TP53","DUSP1",1
"5734",6747,"NEUROD1","LOC100511966",1
"5735",6748,"","LOC100511966",1
"5736",6749,"LOC100511966","LOC100511966",-1
"5737",6750,"PGR","HLTF",1
"5738",6751,"SP1","HLTF",1
"5739",6752,"LOC100621629","OPRD1",1
"5740",6755,"LOC100737684","",1
"5741",6756,"ELK3","NOS2",1
"5742",6757,"LOC100514064","NOS2",1
"5743",6758,"","NOS2",1
"5744",6759,"LOC100737684","LOC100523307",1
"5745",6760,"KLF2","LOC100155620",1
"5746",6761,"SP1","LOC100155620",1
"5747",6763,"PPARD","Ptgs2",1
"5748",6764,"Jdp2","ATF2",-1
"5749",6765,"EGR1","UBC",1
"5750",6766,"TFAP2A","LOC100519127",1
"5751",6767,"TFAP2A","UBC",1
"5752",6768,"SP1","KL",1
"5753",6769,"LOC100627682","",1
"5754",6770,"","UBC",1
"5755",6771,"BCL3","IL-6",1
